3 1 1
20 8 42109
agricultural 12 5 11058
agriculturalist 15 6 40866
agriculture 11 4 9583
agronomist 10 4 34205
agronomists 11 4 39490
aground 7 2 21260
aha 3 2 4563
ahead 5 2 499
ahoy 4 2 10835
aid 3 1 3337
aide 4 1 10675
aided 5 2 17772
aides 5 1 18839
aiding 6 2 13880
aids 4 1 4759
ail 3 1 27908
aileron 7 3 38755
ailerons 8 3 36985
ailing 6 2 17428
ailment 7 2 17409
ailments 8 2 19738
ails 4 1 19104
aim 3 1 2852
aimed 5 1 8308
aiming 6 2 7553
aimless 7 2 24787
aimlessly 9 3 18342
aims 4 1 12544
air 3 1 559
airborne 8 2 8615
aircraft 8 2 4203
airdrop 7 2 36356
airdrops 8 2 41222
aired 5 1 15583
airfare 7 2 27291
airfares 8 2 38306
airfield 8 2 11470
airfields 9 2 26078
airfoil 7 2 40499
airfoils 8 2 41524
airhead 7 2 23062
airing 6 2 17273
airless 7 2 32463
airlift 7 2 24415
airlifted 9 3 28346
airlifting 10 3 39983
airlifts 8 2 40489
airline 7 2 7364
airliner 8 3 22764
airliners 9 3 34565
airlines 8 2 9064
airmail 7 2 29408
airman 6 2 20126
airmen 6 2 15683
airplane 8 2 4513
airplanes 9 2 9353
airport 7 2 1787
airports 8 2 12347
airs 4 1 12975
airship 7 2 16277
airships 8 2 29562
airspace 8 2 15223
airstrip 8 2 17433
airstrips 9 2 36466
airtight 8 2 14522
airwaves 8 2 21535
airway 6 2 13335
airways 7 2 15629
airworthy 9 3 40230
airy 4 2 20835
aisle 5 1 6244
aisles 6 1 21716
ajar 4 2 21674
akimbo 6 3 33178
akin 4 2 19197
alabaster 9 4 23024
alacrity 8 4 32969
alarm 5 2 1630
alarmed 7 2 9429
alarming 8 3 12903
alarmingly 10 4 28428
alarmist 8 3 29247
alarmists 9 3 39511
alarms 6 2 7996
alas 4 2 6124
albacore 8 3 34539
albatross 9 3 16722
albatrosses 11 4 35959
albeit 6 3 16142
albino 6 3 16256
album 5 2 3292
albumin 7 3 36111
albums 6 2 9792
alchemist 9 3 15623
alchemy 7 3 15134
alcohol 7 3 2306
alcoholic 9 4 5437
alcoholics 10 4 15052
alcoholism 10 5 16260
alcove 6 2 23591
alcoves 7 2 33160
alder 5 2 28941
alderman 8 3 14581
aldermen 8 3 32923
ale 3 1 7706
alert 5 2 2358
alerted 7 3 11330
alerting 8 3 21995
alertly 7 3 41207
alertness 9 3 31752
alerts 6 2 20329
ales 4 1 28303
alfalfa 7 3 21728
algae 5 2 12889
algebra 7 3 12659
algebraic 9 4 34412
algebraically 13 5 41592
algorithm 9 4 12008
algorithms 10 4 20148
alias 5 3 8088
aliases 7 4 16407
alibi 5 3 3309
alibis 6 3 13918
alien 5 3 2214
alienate 8 3 21519
alienated 9 5 18435
alienates 9 4 38555
alienating 10 5 25105
alienation 10 5 22313
aliens 6 3 3739
alight 6 2 17781
align 5 2 15507
aligned 7 2 13892
aligning 8 3 26957
alignment 9 3 13889
alignments 10 3 31321
aligns 6 2 32836
alike 5 2 3870
alimentary 10 5 36838
alimony 7 4 10590
aline 5 2 20304
alive 5 2 496
alkali 6 3 29503
alkaline 8 3 27169
alkalinity 10 5 40498
alkaloid 8 3 32258
alkaloids 9 3 38006
all 3 1 18
allay 5 2 29356
allayed 7 2 38147
allaying 8 3 39125
allays 6 2 39103
allegation 10 4 15932
allegations 11 4 8396
allege 6 2 29392
alleged 7 2 7627
allegedly 9 4 9798
alleges 7 3 27567
allegiance 10 3 8477
allegiances 11 4 28617
alleging 8 3 24827
allegorical 11 5 31487
allegories 10 4 36756
allegory 8 4 25390
allegro 7 3 27671
alleluia 8 4 23322
allergen 8 3 34393
allergens 9 3 36662
allergic 8 3 4790
allergies 9 3 9763
allergist 9 3 37279
allergists 10 3 41428
allergy 7 3 10067
alleviate 9 4 17571
alleviated 10 5 34715
alleviates 10 4 37283
alleviating 11 5 34764
alleviation 11 5 40708
alley 5 2 3235
alleys 6 2 14736
alleyway 8 3 16917
alleyways 9 3 28293
alliance 8 3 3973
alliances 9 4 14275
allied 6 2 7742
allies 6 2 4942
alligator 9 4 9824
alligators 10 4 15567
alliteration 12 5 30112
alliterative 12 5 40007
allocate 8 3 26216
allocated 9 4 20557
allocates 9 3 40923
allocating 10 4 35661
allocation 10 4 26132
allocations 11 4 37045
allot 5 2 27954
allotment 9 3 21026
allotments 10 3 33539
allots 6 2 41409
allotted 8 3 20249
allotting 9 3 40183
allow 5 2 1086
allowable 9 4 34525
allowance 9 3 7362
allowances 10 4 19394
allowed 7 2 1067
allowing 8 3 5614
allows 6 2 4771
alloy 5 2 15546
alloys 6 2 27974
allspice 8 2 35898
